,name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level,prob_not_leaving,prob_leaving
3399,HALLMAN,0.13,1.0,4,157,5,1,0,0,technical,low,1,0.7,0.3
3241,COSBY,0.9,0.76,2,211,4,0,0,0,technical,low,1,0.7,0.3
8851,CHEA,0.54,0.88,4,170,4,0,0,0,RandD,low,1,0.7,0.3
13823,DIMICK,0.58,0.99,3,207,10,0,0,0,technical,low,1,0.7,0.3
13020,LUNCEFORD,0.51,0.74,6,98,3,0,0,0,support,low,1,0.7,0.3
5272,PENNELL,0.8,0.76,3,270,2,1,0,0,marketing,low,1,0.7,0.3
13219,LEAGUE,0.92,0.99,3,176,8,0,0,0,sales,medium,2,0.7,0.3
6209,GROCE,0.48,0.87,3,221,2,0,0,0,sales,medium,2,0.7,0.3
12978,FERBER,0.19,0.85,5,249,3,0,0,0,marketing,low,1,0.7,0.3
5245,PASSMORE,0.53,0.95,2,101,5,0,0,0,technical,medium,2,0.7,0.3
13221,FRAY,0.62,0.91,3,269,8,0,0,0,support,medium,2,0.7,0.3
3550,MCWHORTER,0.85,0.78,5,263,2,1,0,0,technical,low,1,0.7,0.3
5431,ELMER,0.7,0.95,5,234,6,1,0,0,sales,medium,2,0.7,0.3
3560,MAKI,0.16,0.88,6,218,3,0,0,0,support,low,1,0.7,0.3
7244,YIN,0.14,0.99,6,251,4,0,0,0,product_mng,low,1,0.7,0.3
5400,BODE,0.33,0.82,2,114,5,0,0,0,technical,high,3,0.7,0.3
13794,CALAHAN,0.6,0.98,4,146,10,0,0,0,technical,low,1,0.7,0.3
13793,CRISSMAN,0.58,0.91,3,195,10,0,0,0,support,low,1,0.7,0.3
13791,MATCHETT,0.51,0.86,3,182,10,0,0,0,sales,low,1,0.7,0.3
7210,CAULEY,0.51,0.89,6,170,4,0,0,0,hr,low,1,0.7,0.3
10748,HORAK,0.14,0.73,6,237,5,0,0,0,IT,medium,2,0.7,0.3
13790,WANN,0.53,0.99,3,223,10,0,0,0,marketing,low,1,0.7,0.3
10767,MERRIAM,0.19,0.85,5,249,3,0,0,0,marketing,low,1,0.7,0.3
3698,ERB,0.42,0.86,2,108,5,0,0,0,technical,high,3,0.7,0.3
6308,BISSELL,0.5,0.71,5,171,4,0,0,0,support,low,1,0.7,0.3
7862,BERGQUIST,0.68,1.0,3,205,4,0,0,0,accounting,low,1,0.7,0.3
6572,RASCON,0.36,0.74,6,280,3,0,0,0,sales,low,1,0.7,0.3
2368,KNOTT,0.72,0.88,2,247,3,0,0,0,technical,medium,2,0.7,0.3
11231,PAULS,0.79,0.83,3,126,10,1,0,0,support,low,1,0.7,0.3
4444,BROGAN,1.0,0.95,3,193,6,0,0,0,sales,low,1,0.7,0.3
4837,VALENTE,0.17,0.82,6,259,4,0,0,0,accounting,low,1,0.7,0.3
9314,SWINFORD,0.74,0.95,5,170,4,0,0,0,technical,medium,2,0.7,0.3
11010,EWERS,0.62,0.91,3,269,8,0,0,0,support,medium,2,0.7,0.3
14152,DESHAZO,0.58,1.0,4,220,10,0,0,0,marketing,medium,2,0.7,0.3
4692,MCDANIELS,0.48,0.81,5,113,3,0,0,0,technical,medium,2,0.7,0.3
14161,FRIESE,0.49,0.88,4,244,3,0,0,0,sales,low,1,0.7,0.3
11579,MARQUETTE,0.53,0.99,3,223,10,0,0,0,marketing,low,1,0.7,0.3
11580,MARCOUX,0.51,0.86,3,182,10,0,0,0,sales,low,1,0.7,0.3
11008,MILLMAN,0.92,0.99,3,176,8,0,0,0,sales,medium,2,0.7,0.3
14167,PERL,0.85,0.87,4,152,7,0,0,0,sales,low,1,0.7,0.3
11612,MENDELSON,0.58,0.99,3,207,10,0,0,0,technical,low,1,0.7,0.3
5793,HARR,0.8,0.72,3,271,2,0,0,0,product_mng,medium,2,0.7,0.3
11582,VEIT,0.58,0.91,3,195,10,0,0,0,support,low,1,0.7,0.3
6600,TORREY,0.86,0.95,5,275,2,0,0,0,technical,medium,2,0.7,0.3
11171,BUTTERS,0.65,0.91,4,243,5,1,0,0,IT,medium,2,0.7,0.3
6779,DILWORTH,0.31,0.92,5,197,5,0,0,0,IT,low,1,0.7,0.3
4769,GOODING,0.13,0.95,5,149,2,0,0,0,technical,low,1,0.7,0.3
11583,PUCCIO,0.6,0.98,4,146,10,0,0,0,technical,low,1,0.7,0.3
9326,HUERTAS,0.47,0.7,4,134,3,0,0,0,sales,low,1,0.7,0.3
9448,BROUGH,0.97,0.91,2,112,5,0,0,0,IT,low,1,0.7,0.3
11118,MARCONI,0.49,1.0,2,125,4,1,0,0,sales,low,1,0.7,0.3
6588,LEBEAU,0.47,0.71,2,241,4,0,0,0,sales,low,1,0.7,0.3
11199,ZHONG,0.84,0.85,4,207,10,0,0,0,sales,low,1,0.7,0.3
5853,LAWHORN,0.59,0.99,3,185,2,0,0,0,support,medium,2,0.7,0.3
4566,FREUND,0.32,0.77,6,112,4,0,0,0,IT,medium,2,0.7,0.3
2048,REYNOSO,0.48,0.85,3,279,4,0,0,0,IT,low,1,0.7,0.3
11505,ARNETTE,0.65,0.89,4,204,8,1,0,0,support,low,1,0.7,0.3
2101,QUINTANILLA,1.0,0.74,3,220,4,0,0,0,technical,low,1,0.7,0.3
5875,STORMS,0.8,0.99,6,178,5,0,0,0,RandD,low,1,0.7,0.3
10883,AMADO,0.48,0.86,5,198,4,0,0,0,technical,low,1,0.7,0.3
11208,VASS,0.93,0.73,4,283,7,0,0,0,sales,high,3,0.7,0.3
9169,RAMSDELL,0.14,0.99,3,257,4,1,0,0,sales,low,1,0.7,0.3
9641,KALE,0.61,0.83,5,269,5,1,0,0,sales,low,1,0.7,0.3
13380,DACUS,0.77,0.83,5,216,4,0,0,0,IT,medium,2,0.8,0.2
10526,PORCH,0.8,0.96,4,160,4,0,0,0,IT,low,1,0.8,0.2
6086,ARANGO,0.15,0.9,5,284,4,0,0,0,support,low,1,0.8,0.2
13345,GUERRIERO,0.75,0.85,3,250,6,0,0,0,technical,medium,2,0.8,0.2
3027,WARDEN,0.33,0.96,5,97,3,0,0,0,support,medium,2,0.8,0.2
11211,UGALDE,0.5,0.82,2,286,6,0,0,0,sales,medium,2,0.8,0.2
3949,ANDRE,0.69,0.96,5,164,3,0,0,0,technical,low,1,0.8,0.2
11213,MOSSMAN,0.93,0.95,5,176,6,0,0,1,accounting,medium,2,0.8,0.2
13342,CATT,0.19,0.97,6,269,6,0,0,0,hr,medium,2,0.8,0.2
5416,TANKERSLEY,0.18,0.93,3,245,4,1,0,0,RandD,low,1,0.8,0.2
6116,KEELEY,0.45,0.75,4,169,2,0,0,0,sales,low,1,0.8,0.2
3171,MALIK,0.38,0.74,3,159,4,0,0,0,technical,medium,2,0.8,0.2
9959,MCGAUGHEY,0.43,0.92,5,151,4,0,0,0,technical,low,1,0.8,0.2
13276,SEIGLER,0.43,0.96,3,109,6,0,0,0,technical,low,1,0.8,0.2
11275,ROYSTON,0.56,0.71,3,211,6,0,0,1,marketing,low,1,0.8,0.2
6665,ELEY,0.52,0.86,6,103,4,0,0,0,sales,low,1,0.8,0.2
3134,MARCH,0.93,0.95,6,147,3,0,0,0,technical,low,1,0.8,0.2
9559,HOCKER,0.15,0.95,4,173,5,1,0,0,sales,low,1,0.8,0.2
11232,OPPERMAN,0.65,0.85,4,201,10,0,0,0,support,low,1,0.8,0.2
8675,MCGUIGAN,0.31,0.79,2,193,4,0,0,0,support,low,1,0.8,0.2
5419,RONEY,0.74,0.93,3,204,4,0,0,0,marketing,low,1,0.8,0.2
13341,JEFFORDS,0.82,0.87,5,145,6,0,0,0,hr,medium,2,0.8,0.2
10542,VILLAVICENCIO,0.33,1.0,2,210,3,1,0,0,sales,medium,2,0.8,0.2
9970,CAFFREY,0.89,0.85,4,195,4,0,0,0,support,medium,2,0.8,0.2
7573,SOHN,0.94,0.74,4,224,5,0,0,0,sales,low,1,0.8,0.2
6548,CLAPPER,0.48,0.87,3,267,2,0,0,0,IT,low,1,0.8,0.2
5430,CASAREZ,0.48,0.97,3,224,6,0,0,0,sales,medium,2,0.8,0.2
11215,HARTWICK,0.52,0.84,3,261,8,0,0,1,accounting,low,1,0.8,0.2
11214,JOAQUIN,0.5,1.0,5,264,8,0,0,1,accounting,high,3,0.8,0.2
5436,SCHICK,0.99,0.8,5,254,5,0,0,0,sales,medium,2,0.8,0.2
3050,GARDINER,0.85,0.82,6,141,5,0,0,0,RandD,low,1,0.8,0.2
13340,VIATOR,0.8,0.9,4,211,8,0,0,0,accounting,medium,2,0.8,0.2
11205,AMMON,0.77,0.89,4,153,7,0,0,0,sales,medium,2,0.8,0.2
4673,SHADE,0.98,0.88,5,203,5,1,0,0,sales,medium,2,0.8,0.2
3004,KONG,0.42,0.89,6,188,5,1,0,0,sales,low,1,0.8,0.2
5453,STACKHOUSE,0.51,0.88,3,202,4,0,0,0,hr,low,1,0.8,0.2
2842,FALK,0.73,0.88,5,204,5,0,0,0,sales,low,1,0.8,0.2
2840,HANNON,0.42,0.94,5,227,5,0,0,0,sales,medium,2,0.8,0.2
10472,TRIANA,0.71,1.0,5,210,3,0,0,0,sales,medium,2,0.8,0.2
10465,SCHAFF,0.76,0.79,3,111,2,0,0,0,sales,low,1,0.8,0.2
2818,BRINK,0.64,0.9,2,101,6,0,0,0,IT,low,1,0.8,0.2
10025,SWINT,0.42,0.85,3,150,3,0,0,0,sales,low,1,0.8,0.2
2798,MCCRARY,0.49,1.0,3,176,3,0,0,0,support,medium,2,0.8,0.2
2794,RUST,0.13,0.89,4,249,6,1,0,0,support,medium,2,0.8,0.2
2784,FIERRO,0.17,0.93,3,218,4,0,0,0,technical,low,1,0.8,0.2
11134,RABIDEAU,0.75,0.85,3,250,6,0,0,0,technical,medium,2,0.8,0.2
5531,CHRISTOPHERSON,0.53,0.76,5,143,4,0,0,1,technical,low,1,0.8,0.2
13565,FOUTZ,0.62,0.97,2,271,3,0,0,0,sales,low,1,0.8,0.2
5532,SELLARS,0.58,0.88,3,157,4,0,0,1,technical,low,1,0.8,0.2
11131,ODDO,0.19,0.97,6,269,6,0,0,0,hr,medium,2,0.8,0.2
10037,MAX,0.43,0.84,2,285,5,0,0,0,technical,low,1,0.8,0.2
13594,RUCK,0.86,0.89,4,153,4,0,0,0,sales,low,1,0.8,0.2
8505,MCROBERTS,0.74,0.9,4,156,4,0,0,0,hr,medium,2,0.8,0.2
11130,COBIAN,0.82,0.87,5,145,6,0,0,0,hr,medium,2,0.8,0.2
2731,OVERSTREET,0.3,0.91,4,248,4,0,0,0,management,low,1,0.8,0.2
11129,LAUFER,0.8,0.9,4,211,8,0,0,0,accounting,medium,2,0.8,0.2
2718,RAGLAND,0.56,0.75,5,143,5,0,0,0,support,medium,2,0.8,0.2
7692,RUTLAND,0.36,0.77,4,252,2,0,0,0,management,medium,2,0.8,0.2
13486,HARTIN,0.56,0.71,3,211,6,0,0,1,marketing,low,1,0.8,0.2
2881,HOLTON,0.2,0.77,6,213,4,0,0,0,support,low,1,0.8,0.2
10499,BLASER,0.17,0.73,4,188,5,0,0,0,technical,low,1,0.8,0.2
13385,SANSON,0.61,0.97,6,286,4,0,0,0,product_mng,medium,2,0.8,0.2
2974,HARLOW,0.21,0.76,5,239,2,0,0,0,RandD,low,1,0.8,0.2
8617,EBNER,0.3,0.76,5,224,2,0,0,0,product_mng,medium,2,0.8,0.2
4667,FIELDER,0.62,0.87,6,169,2,1,0,0,sales,medium,2,0.8,0.2
6118,FLINN,0.15,0.87,4,194,4,0,0,0,sales,low,1,0.8,0.2
9499,PARMENTER,0.5,0.95,3,166,4,1,0,0,technical,low,1,0.8,0.2
4683,DUGAS,0.12,0.7,4,276,4,0,0,0,sales,low,1,0.8,0.2
11174,KINSMAN,0.61,0.97,6,286,4,0,0,0,product_mng,medium,2,0.8,0.2
13416,SCHERRER,0.77,0.89,4,153,7,0,0,0,sales,medium,2,0.8,0.2
13422,FRANKO,0.5,0.82,2,286,6,0,0,0,sales,medium,2,0.8,0.2
2903,VEST,0.3,0.7,5,280,4,1,0,0,accounting,low,1,0.8,0.2
13424,ARWOOD,0.93,0.95,5,176,6,0,0,1,accounting,medium,2,0.8,0.2
13425,SLEZAK,0.5,1.0,5,264,8,0,0,1,accounting,high,3,0.8,0.2
13426,HEREFORD,0.52,0.84,3,261,8,0,0,1,accounting,low,1,0.8,0.2
11169,BAYNES,0.77,0.83,5,216,4,0,0,0,IT,medium,2,0.8,0.2
4698,BOSLEY,0.16,0.78,4,280,6,0,0,0,technical,high,3,0.8,0.2
13443,PEED,0.65,0.85,4,201,10,0,0,0,support,low,1,0.8,0.2
2917,REIS,0.74,0.81,5,106,5,0,0,0,sales,medium,2,0.8,0.2
7663,MACKINNON,0.88,0.77,4,224,5,1,0,0,hr,low,1,0.8,0.2
7664,HUMBERT,0.78,0.97,4,221,4,0,0,0,hr,low,1,0.8,0.2
6675,ACTON,0.4,0.86,2,264,5,0,0,0,technical,medium,2,0.8,0.2
5386,SCHAUB,0.84,0.93,6,166,4,0,0,0,technical,low,1,0.8,0.2
13228,WINDERS,0.73,0.88,5,233,4,1,0,0,sales,medium,2,0.8,0.2
11681,FLYNT,0.93,0.98,4,189,10,0,0,0,sales,medium,2,0.8,0.2
5111,WHYTE,0.52,1.0,4,148,3,0,0,0,RandD,medium,2,0.8,0.2
4161,WHITLOW,0.9,0.74,3,260,4,0,0,0,technical,high,3,0.8,0.2
6879,CATALDO,0.4,1.0,6,206,2,0,0,0,sales,low,1,0.8,0.2
3754,PITT,0.19,0.99,3,154,2,0,0,0,sales,high,3,0.8,0.2
4169,ALLMAN,0.43,0.9,5,282,5,0,0,0,support,low,1,0.8,0.2
13629,OROS,0.75,0.99,2,237,5,1,0,0,product_mng,low,1,0.8,0.2
3704,GOEBEL,0.6,0.73,3,191,5,1,0,0,technical,low,1,0.8,0.2
7169,OQUENDO,0.21,0.98,6,208,5,1,0,0,product_mng,low,1,0.8,0.2
3700,ALCANTAR,0.58,0.8,3,181,4,0,0,0,technical,high,3,0.8,0.2
11588,BROSS,0.66,0.9,4,177,7,0,0,0,sales,low,1,0.8,0.2
9003,STRUCK,0.59,1.0,4,275,3,0,0,0,RandD,medium,2,0.8,0.2
5142,MONEY,0.5,0.88,4,275,5,0,0,0,accounting,low,1,0.8,0.2
9000,INGHAM,0.82,0.89,4,275,3,0,0,0,IT,medium,2,0.8,0.2
12864,VILLAGRANA,0.94,0.99,2,273,4,0,0,0,technical,low,1,0.8,0.2
10751,PLUM,0.84,0.96,6,155,5,0,0,0,product_mng,medium,2,0.8,0.2
4247,BASILE,0.86,0.82,4,252,4,0,0,0,support,low,1,0.8,0.2
3627,CORREIA,0.18,0.7,5,182,4,0,0,0,technical,low,1,0.8,0.2
6271,GARCES,0.48,0.98,5,132,4,0,0,0,sales,low,1,0.8,0.2
4255,ESTEVEZ,0.76,0.95,2,156,4,0,0,0,support,high,3,0.8,0.2
9828,HAUGHTON,0.14,0.83,6,275,6,0,0,0,technical,low,1,0.8,0.2
3595,TRAPP,0.32,0.97,6,272,2,0,0,0,sales,low,1,0.8,0.2
6883,ECKHARDT,0.8,0.8,3,271,4,0,0,0,sales,low,1,0.8,0.2
6337,HOVEY,0.32,0.73,3,180,6,0,0,0,support,low,1,0.8,0.2
4552,GARRIS,0.51,0.91,4,269,5,0,0,1,support,medium,2,0.8,0.2
11694,BRUGGEMAN,0.16,0.96,5,137,5,1,0,0,technical,low,1,0.8,0.2
11849,BANGS,0.2,0.7,4,225,5,0,0,0,support,low,1,0.8,0.2
9142,GARRARD,0.48,0.94,3,173,2,0,0,0,management,low,1,0.8,0.2
9723,JAQUES,0.31,0.95,5,205,3,0,0,0,accounting,low,1,0.8,0.2
3989,SORRELL,0.83,0.81,3,242,6,0,0,0,sales,low,1,0.8,0.2
7041,WHITENER,0.59,0.82,4,203,4,1,0,0,sales,low,1,0.8,0.2
9734,BLAKEMORE,0.51,0.88,5,230,4,0,0,0,technical,medium,2,0.8,0.2
4001,NEMETH,0.16,0.94,3,178,4,0,0,0,hr,medium,2,0.8,0.2
9191,OBOYLE,0.32,0.95,2,184,5,0,0,0,hr,medium,2,0.8,0.2
4040,MAZZA,0.34,0.99,4,184,3,0,0,0,RandD,medium,2,0.8,0.2
11749,GOODFELLOW,0.49,0.88,4,240,8,0,0,0,product_mng,medium,2,0.8,0.2
3860,MARQUIS,0.88,0.89,2,160,4,0,0,0,support,low,1,0.8,0.2
9682,ALMENDAREZ,0.22,1.0,6,244,3,0,0,0,IT,medium,2,0.8,0.2
11731,MAGERS,0.77,0.82,4,134,3,0,0,1,sales,low,1,0.8,0.2
11942,WEDGE,0.88,0.74,3,273,10,0,0,0,sales,medium,2,0.8,0.2
11726,KINNE,0.57,0.82,5,233,7,0,0,1,sales,medium,2,0.8,0.2
11945,EDELEN,0.94,0.73,3,268,10,0,0,0,technical,medium,2,0.8,0.2
6449,JORGE,0.88,0.99,3,190,5,0,0,0,technical,high,3,0.8,0.2
4974,ECHEVERRIA,0.14,0.81,4,138,3,1,0,0,sales,high,3,0.8,0.2
4111,MENDIOLA,0.13,1.0,6,225,3,0,0,0,product_mng,medium,2,0.8,0.2
11699,KIKER,0.5,0.83,5,258,2,0,0,0,IT,low,1,0.8,0.2
